Number	Player	Team	 Purchased 	 Paid 
367	Cal Neeman	Chicago Cubs	 TRUE 	$6.63
368	Don Mueller	Chicago White Sox	 TRUE 	$1.50
369	Dick Tomanek	Kansas City Athletics	 FALSE 	
370	Pete Runnels	Boston Red Sox	 FALSE 	
371	Dick Brodowski	Cleveland Indians	 TRUE 	$2.96
372	Jim Hegan	Philadelphia Phillies	 FALSE 	
373	Herb Plews	Washington Senators	 FALSE 	$2.11
374	Art Ditmar	New York Yankees	 TRUE 	$3.13
375	Bob Nieman	Baltimore Orioles 	 TRUE 	$7.42
376	Hal Naragon	Cleveland Indians	 TRUE 	$6.20
377	Johnny Antonelli	San Francisco Giants	 FALSE 	
378	Gail Harris	Detroit Tigers 	 TRUE 	$2.75
379	Bob Miller	St. Louis Cardinals	 TRUE 	$3.71
380	Hank Aaron	Milwaukee Braves	 FALSE 	
381	Mike Baxes	Kansas City Athletics	 FALSE 	
382	Curt Simmons	Philadelphia Phillies	 TRUE 	$3.82
383	Larsen, Stengel	New York Yankees	 TRUE 	$1.87
384	Dave Sisler	Boston Red Sox	 FALSE 	
385	Sherm Lollar	Chicago White Sox	 TRUE 	$1.51
386	Jim Delsing	Washington Senators	 FALSE 	
387	Don Drysdale	Los Angeles Dodgers	 TRUE 	$8.00
388	Bob Will	Chicago Cubs	 FALSE 	
389	Joe Nuxhall	Cincinnati Redlegs	 TRUE 	$5.00
390	Orlando Cepeda	San Francisco Giants	 TRUE 	$11.97
391	Milt Pappas	Baltimore Orioles 	 TRUE 	$5.30
392	Whitey Herzog	Kansas City Athletics	 FALSE 	
393	Frank Lary	Detroit Tigers 	 TRUE 	$1.93
394	Randy Jackson	Cleveland Indians	 TRUE 	$3.29
395	Elston Howard	New York Yankees	 TRUE 	$3.45
396	Bob Rush	Milwaukee Braves	 FALSE 	
397	Washington Senators	Washington Senators	 FALSE 	
398	Wally Post	Philadelphia Phillies	 TRUE 	$5.58
399	Larry Jackson	St. Louis Cardinals	 TRUE 	$1.93
400	Jackie Jensen	Boston Red Sox	 FALSE 	
401	Ron Blackburn	Pittsburgh Pirates	 TRUE 	$2.39
402	Hector Lopez	Kansas City Athletics	 TRUE 	$3.09
403	Clem Labine	Los Angeles Dodgers	 FALSE 	
404	Hank Sauer	San Francisco Giants	 TRUE 	$6.36
405	Roy McMillan	Cincinnati Redlegs	 TRUE 	$0.96
406	Solly Drake	Los Angeles Dodgers	 TRUE 	$4.23
407	Moe Drabowsky	Chicago Cubs	 TRUE 	$3.55
408	Fox, Aparicio	Chicago White Sox	 TRUE 	$2.00
409	Gus Zernial	Detroit Tigers 	 TRUE 	$3.16
410	Billy Pierce	Chicago White Sox	 TRUE 	$3.60
411	Whitey Lockman	Baltimore Orioles 	 TRUE 	$3.60
412	Stan Lopata	Philadelphia Phillies	 TRUE 	$3.60
413	Camilo Pascual	Washington Senators	 TRUE 	$2.14
414	Dale Long	Chicago Cubs	 TRUE 	$3.60
415	Bill Mazeroski	Pittsburgh Pirates	 TRUE 	$8.00
416A	Haywood Sullivan	Boston Red Sox	 TRUE 	$2.27
417	Virgil Trucks	New York Yankees	 TRUE 	$3.60
418	Gino Cimoli	St. Louis Cardinals	 TRUE 	$3.60
419	Milwaukee Braves	Milwaukee Braves	 TRUE 	$7.62
420	Rocco Colavito	Cleveland Indians	 FALSE 	
421	Herm Wehmeier	Detroit Tigers 	 TRUE 	$3.60
422	Hobie Landrith	San Francisco Giants	 TRUE 	$3.60
423	Bob Grim	Kansas City Athletics	 TRUE 	$2.11
424	Ken Aspromonte	Washington Senators	 TRUE 	$3.98
425	Del Crandall	Milwaukee Braves	 TRUE 	$3.60
426	Jerry Staley	Chicago White Sox	 TRUE 	$6.61
427	Charlie Neal	Los Angeles Dodgers	 TRUE 	$4.16
428	Face, Law, Kline, & Friend	Pittsburgh Pirates	 FALSE 	
429	Bobby Thomson	Chicago Cubs	 TRUE 	$5.30
430	Whitey Ford	New York Yankees	 FALSE 	
431	Whammy Douglas	Cincinnati Redlegs	 FALSE 	
432	Smoky Burgess	Pittsburgh Pirates	 TRUE 	$3.60
433	Billy Harrell	St. Louis Cardinals	 TRUE 	$3.60
434	Hal Griggs	Washington Senators	 TRUE 	$1.51
435	Frank Robinson	Cincinnati Redlegs	 TRUE 	$18.02
436	Granny Hamner	Philadelphia Phillies	 TRUE 	$3.00
437	Ike Delock	Boston Red Sox	 TRUE 	$1.51
438	Sam Esposito	Chicago White Sox	 TRUE 	$4.17
439	Brooks Robinson	Baltimore Orioles 	 TRUE 	$53.42
440	Lou Burdette	Milwaukee Braves	 FALSE 	
441	John Roseboro	Los Angeles Dodgers	 FALSE 	
442	Ray Narleski	Detroit Tigers 	 TRUE 	$1.93
443	Daryl Spencer	San Francisco Giants	 TRUE 	$3.10
444	Ron Hansen	Baltimore Orioles 	 TRUE 	$2.00
445	Cal McLish	Cleveland Indians	 TRUE 	$2.96
446	Rocky Nelson	Pittsburgh Pirates	 TRUE 	$2.00
447	Bob Anderson	Chicago Cubs	 TRUE 	$1.60
448	Vada Pinson	Cincinnati Redlegs	 TRUE 	$2.00
449	Tom Gorman	Kansas City Athletics	 TRUE 	$2.00
450	Eddie Mathews	Milwaukee Braves	 FALSE 	
